character	killed by	death	type
Twilight Odin	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (actual Eidolon remains alive)	clone
Ugallu	Serah Farron | Noel Kreiss | Yeul	Slain by Serah Farron and Noel Kreiss, on request from Yeul	
Yanny		Died during a hunt (eventually reborn within the New World)	reincarnated
Yellow Miniflan	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Yeul		Died from unknown causes and passed on to Valhalla (reincarnated as herself by Etro)	reincarnated
Yeul	Etro	Perished after seeing a vision of the future through the Eyes of Etro (reincarnated as herself by Etro)	reincarnated
Yeul	Etro	Perished after seeing a vision of the future through the Eyes of Etro (reincarnated as herself by Etro)	reincarnated
Yeul	Etro	Perished after seeing a vision of the future through the Eyes of Etro (reincarnated as herself by Etro)	reincarnated
Yeul	Hope Estheim | Serah Farron	Duplicate erased from existence alongside the Proto fal'Cie Adam by Hope Estheim and Serah Farron	clone
Yeul	Proto fal'Cie Adam | Yeul	Stabbed by a Cie'th created by the Proto fal'Cie Adam, orchestrated by herself in order to prevent a contradiction in the timeline (reincarnated as herself by Etro)	reincarnated
Yeul	Yeul	Erased from existence by a paradox she inadvertently created when sealing an Ugallu in the void (reincarnated as herself by Etro)	reincarnated
Yomi	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Zenobia	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
{200+} Yeul	Etro	Perished after seeing a vision of the future through the Eyes of Etro or through other means (hundreds mentioned) (reincarnated as herself by Etro)	reincarnated
{3} Proto fal'Cie Adam	Serah Farron | Noel Kreiss	Slain several times by Serah Farron and Noel Kreiss (3 wrong Live Trigger responses) (negated his own defeat using time teleportation)	undone
